comment_id,video_id,text,author,author_channel_id,like_count,reply_count,published_at,updated_at,is_reply,parent_comment_id
Ugwb9gcFQUI9nkiyYZR4AaABAg,1T__OH0fnD4,"Saya dukung bung binder , kluivert out",@anjasyihsanfaruqi,{'value': 'UCHm4xY0aVnCCxH8Q2kjGUgQ'},3,0,2025-10-12T12:35:19Z,2025-10-12T12:35:19Z,False,
Ugz74rRmi1r8G3Mqeq94AaABAg,1T__OH0fnD4,ET PK out..😅,@MukhyidinAlvarez-qo1vg,{'value': 'UCC6IRoYoIrmtt-5CX6w6Fjg'},12,0,2025-10-12T08:23:30Z,2025-10-12T08:23:30Z,False,
UgzNKdU4uSTPN0Rp1G54AaABAg,1T__OH0fnD4,Udh bener2 STY,@antowiyanto3029,{'value': 'UCihOeL7ixvRu27hwy5b-ctw'},4,0,2025-10-12T08:42:37Z,2025-10-12T08:42:37Z,False,
UgwfpIW1sLpjF6mQmN54AaABAg,1T__OH0fnD4,Selama federasi maunya memilih pelatih yang bisa direcoki keputusan dalam pemilihan pemainnya ya tetap saja begini2 saja sepakbola timnas,@koalabakar1167,{'value': 'UCQfhsOL43d-sqV67oXolb4A'},0,0,2025-10-13T04:02:30Z,2025-10-13T04:02:30Z,False,
Ugy2ZFk0VURkEsD26eJ4AaABAg,1T__OH0fnD4,Hir...tohir...🤣🤣🤣,@masirbas6374,{'value': 'UCjlU2PwqHnWCb36awVZZ_Mg'},3,0,2025-10-12T11:15:34Z,2025-10-12T11:15:34Z,False,
Ugz8_BWAgP0RSZP_r2N4AaABAg,1T__OH0fnD4,"Yg harusnya minta maaf dan mundur dari jabatan orang"" itu",@menikmenik-u1y,{'value': 'UCOIh1NxowxLmJiA42pGQ7cw'},2,0,2025-10-12T11:12:17Z,2025-10-12T11:12:17Z,False,
UgzYIiQy8e3_B1ZaVRF4AaABAg,1T__OH0fnD4,Jadwal tan sistem qualifikasinya sudah nggak daur dan merugikan indonesia.  AFC MAFIA.. Fakta itu!!!,@Badur-j9q,{'value': 'UCcKd2LmFWKUQegQS6t90rrA'},2,1,2025-10-12T09:43:18Z,2025-10-12T09:43:18Z,False,
UgxsdVykiTgLutGXbwh4AaABAg,1T__OH0fnD4,Lebih baik witan Suliman daripada jonathan,@AntoSugianto-x1o,{'value': 'UCdenFNV2uLJrB4hOmMQzULA'},3,1,2025-10-12T08:04:35Z,2025-10-12T08:04:35Z,False,
UgxF1HDF2O0Cu6iUP-F4AaABAg,1T__OH0fnD4,1:11 : sebelum STY ada Simon Mc Menemy…😂,@HafizqiKevin-d7n,{'value': 'UC-Emiu-WDz8lgypk66leTkQ'},1,0,2025-10-14T08:26:10Z,2025-10-14T08:26:10Z,False,
UgzhYO-gGuKhvIHC6N94AaABAg,1T__OH0fnD4,"Erick Thohir OUT 
Patrick Kluivert OUT 
Dan kembali kan STY❤❤",@srinengsih955,{'value': 'UCUS6K69ksk_HIzsKZGUQbDA'},1,0,2025-10-12T14:58:19Z,2025-10-12T14:58:19Z,False,
